,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,White,Black or African American,Asian,Hispanic or Latino (of any race)
QN10,29543,14356,15187,1535,1954,1867,1651,1212,2749,3973,4730,2277,2286,2758,1824,25498,2502,469,3759
QN12,35500,16469,19031,2756,2650,2989,3056,2622,4337,4415,5358,1753,1588,2172,1240,8545,22095,966,9127
QN15,50294,23253,27041,4966,3648,3789,3573,4108,7624,5518,5545,2644,2065,3571,2269,19970,23680,957,12627
SI07,24202,11971,12231,1450,1201,1681,1449,1340,2472,3876,3893,1634,1472,1831,1267,20888,481,1789,2872
SI08,23858,10469,13389,1838,1887,1533,2453,2498,3731,2805,3107,959,1145,960,599,10431,8061,3169,6357
SI12,30473,14153,16320,2230,1919,2564,2703,2585,4475,4378,4378,1537,1302,1363,783,13581,9124,2444,11744
SI22,31214,15078,16136,2577,2319,2063,2581,2103,4530,4170,4445,1538,1606,1903,982,13100,12529,1731,8653
SI28,19240,9374,9866,1774,1431,1159,1260,1328,3137,2577,2475,1098,1024,750,841,11842,3997,923,5946
SI35,18310,9334,8976,1127,1253,1289,1279,1232,2408,2319,2856,1336,1016,927,835,14146,2038,723,4822
SI37,25635,12697,12938,1379,1696,1482,1825,2116,3998,3429,3799,1872,1089,1445,1109,13589,5199,2879,7541
SI05,39517,18784,20733,2308,2048,2848,2433,2061,4871,5092,5964,3072,2646,3496,1716,29741,1634,6600,5772
SI14,14775,6848,7927,909,977,887,711,941,2157,1809,2220,1082,1094,1090,578,11627,979,1594,1763
SI24,31931,15087,16844,1482,1513,2031,2220,2047,3060,4202,5158,2528,2367,2795,1702,26037,821,4206,2935
SI36,24999,12235,12764,1288,1235,1350,1469,2052,3543,3160,3654,1704,1407,2065,1401,20378,1122,2282,3465
SI45,21208,10290,10918,1509,1299,1151,1295,1351,2380,3142,3718,1275,1229,1559,873,18512,412,1165,3054
SI01,28727,14589,14138,1303,1522,2146,1898,2142,3095,4019,4880,2093,1867,2332,1124,27311,97,942,2393
SI11,24083,12491,11592,1494,1965,1682,1548,1512,2976,4070,3959,1301,1073,1661,638,21305,873,1044,2969
SI25,22038,10428,11610,1201,1196,1330,1241,1084,2593,3232,3025,1301,1548,2179,1549,20378,601,463,2686
SI32,19938,9766,10172,1019,1612,1370,1007,1205,2671,2951,2926,1476,1434,1587,539,18548,116,1105,1450
SI48,24799,12124,12675,1202,1406,1647,2034,1377,3187,3888,3705,1776,1996,1712,599,22374,487,1558,2848
SI54,43427,21259,22168,2181,2769,2847,2927,2627,4632,6524,7139,2999,2825,3646,1770,41048,64,1675,3169
SI99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
